electorate,parliamentaryTitles,surname,firstName,positionOnMarriage,positionIn2012Vote,politicalParty,state
Warringah,Prime Minister,Abbott,Tony,No,No,Liberal,NSW
Grayndler,none,Albanese,Anthony,Yes,Yes,Labor,NSW
Bennelong,none,Alexander,John,Unconfirmed by SBS,No,Liberal,NSW
McPherson,Parliamentary Secretary to the Minister for Industry and Science,Andrews,Karen,Uncomfirmed by SBS,No,Liberal,Qld
Menzies,Minister for Defence,Andrews,Kevin,No,No,Liberal,Vic
Paterson,Parliamentary Secretary to the Minister for the Environment,Baldwin,Bob,Unconfirmed by SBS,No,Liberal,NSW
Melbourne,none,Bandt,Adam,Yes,Yes,Greens,Vic
Dunkley,Minister for Small Business,Billson,Bruce,Unconfirmed by SBS,No,Liberal,Vic
Cunningham,none,Bird,Sharon,Yes,Yes,Labor,NSW
Mackellar,Speaker,Bishop,Bronwyn,Unconfirmed by SBS,No,Liberal,NSW
Curtin,Minister for Foreign Affairs,Bishop,Julie,Unconfirmed by SBS,No,Liberal,WA
McMahon,none,Bowen,Chris,Yes,No,Labor,NSW
Mayo,Assistant Minister for Infrastructure and Regional Development,Briggs,Jamie,Unconfirmed by SBS,No,Liberal,SA
Mallee,none,Broad,Andrew,Unconfirmed by SBS,Did not vote/vote not recorded,Nationals,Vic
McMillan,none,Broadbent,Russell,No,No,Liberal,Vic
Canberra,none,Brodtmann,Gai,Yes,Yes,Labor,ACT
Fisher,none,Brough,Mal,Unconfirmed by SBS,Did not vote/vote not recorded,Liberal,Qld
Wright,Chief Government Whip,Buchholz,Scott,Unconfirmed by SBS,No,Liberal,Qld
Chisholm,none,Burke,Anna,Yes,Did not vote/vote not recorded,Labor,Vic
Watson,Manager of Opposition Business,Burke,Tony,Yes,No,Labor,NSW
Port Adelaide,none,Butler,Mark,Yes,Yes,Labor,SA
Griffith,none,Butler,Terri,Yes,Did not vote/vote not recorded,Labor,Qld
Holt,none,Byrne,Anthony,Unconfirmed by SBS,No,Labor,Vic
Rankin,none,Chalmers,Jim,Yes,Did not vote/vote not recorded,Labor,Qld
Wakefield,none,Champion,Nick,Yes,Yes,Labor,SA
Gippsland,Parliamentary Secretary to the Minister for Defence,Chester,Darren,Yes,No,Nationals,Vic
Bendigo,none,Chesters,Lisa,Yes,Did not vote/vote not recorded,Labor,Vic
Dawson,The Nationals Deputy Whip,Christensen,George,Unconfirmed by SBS,No,Nationals,Qld
Moncrieff,"Parliamentary Secretary to the Minister for Foreign Affairs, ParliamentarySecretary  to the Minister for Trade and Investment",Ciobo,Steven,Unconfirmed by SBS,No,Liberal,Qld
Blaxland,none,Clare,Jason,Yes,Yes,Labor,NSW
